DATE EVENT;X;Y;EVENT;VALUE1;VALUE2;CELL_ID;COMMENT;date ajout;resp. ajout;;;;;;;;;;
01/01/2021;0;0;current;;;;0;07/10/2024;JLF;;01/01/2021;0;0;compute_energy;;;;0;03/04/2025
10/01/2021;0;0;compute_energy;;;;0;03/04/2025;JLF;;01/04/2021;0;0;compute_energy;;;;1;03/04/2025
01/02/2021;0;0;current;;;;0;07/10/2024;JLF;;01/07/2021;0;0;compute_energy;;;;2;03/04/2025
01/03/2021;0;0;current;;;;0;07/10/2024;JLF;;01/10/2021;0;0;compute_energy;;;;3;03/04/2025
01/04/2021;0;0;current;;;;0;07/10/2024;JLF;;01/01/2022;0;0;compute_energy;;;;4;03/04/2025
01/04/2021;0;0;compute_energy;;;;1;03/04/2025;JLF;;01/04/2022;0;0;compute_energy;;;;5;03/04/2025
01/05/2021;0;0;current;;;;0;07/10/2024;JLF;;01/07/2022;0;0;compute_energy;;;;6;03/04/2025
01/06/2021;0;0;current;;;;0;07/10/2024;JLF;;01/10/2022;0;0;compute_energy;;;;7;03/04/2025
01/07/2021;0;0;current;;;;0;07/10/2024;JLF;;01/01/2023;0;0;compute_energy;;;;8;03/04/2025
01/07/2021;0;0;compute_energy;;;;2;03/04/2025;JLF;;01/04/2023;0;0;compute_energy;;;;9;03/04/2025
01/08/2021;0;0;current;;;;0;07/10/2024;JLF;;01/07/2023;0;0;compute_energy;;;;10;03/04/2025
01/09/2021;0;0;current;;;;0;07/10/2024;JLF;;01/10/2023;0;0;compute_energy;;;;11;03/04/2025
01/10/2021;0;0;current;;;;0;07/10/2024;JLF;;01/01/2024;0;0;compute_energy;;;;12;03/04/2025
01/10/2021;0;0;compute_energy;;;;3;03/04/2025;JLF;;01/04/2024;0;0;compute_energy;;;;13;03/04/2025
01/11/2021;0;0;current;;;;0;07/10/2024;JLF;;01/07/2024;0;0;compute_energy;;;;14;03/04/2025
01/12/2021;0;0;current;;;;0;07/10/2024;JLF;;01/10/2024;0;0;compute_energy;;;;15;03/04/2025
01/01/2022;0;0;current;;;;0;07/10/2024;JLF;;01/01/2025;0;0;compute_energy;;;;16;03/04/2025
01/01/2022;0;0;compute_energy;;;;4;03/04/2025;JLF;;01/04/2025;0;0;compute_energy;;;;17;03/04/2025
01/02/2022;0;0;current;;;;0;07/10/2024;JLF;;01/07/2025;0;0;compute_energy;;;;18;03/04/2025
01/03/2022;0;0;current;;;;0;07/10/2024;JLF;;01/10/2025;0;0;compute_energy;;;;19;03/04/2025
01/04/2022;0;0;current;;;;0;07/10/2024;JLF;;01/01/2026;0;0;compute_energy;;;;20;03/04/2025
01/04/2022;0;0;compute_energy;;;;5;03/04/2025;JLF;;01/04/2026;0;0;compute_energy;;;;21;03/04/2025
01/05/2022;0;0;current;;;;0;07/10/2024;JLF;;01/07/2026;0;0;compute_energy;;;;22;03/04/2025
01/06/2022;0;0;current;;;;0;07/10/2024;JLF;;01/10/2026;0;0;compute_energy;;;;23;03/04/2025
01/07/2022;0;0;current;;;;0;07/10/2024;JLF;;01/01/2027;0;0;compute_energy;;;;24;03/04/2025
01/07/2022;0;0;compute_energy;;;;6;03/04/2025;JLF;;01/04/2027;0;0;compute_energy;;;;25;03/04/2025
01/08/2022;0;0;current;;;;0;07/10/2024;JLF;;01/07/2027;0;0;compute_energy;;;;26;03/04/2025
01/09/2022;0;0;current;;;;0;07/10/2024;JLF;;01/10/2027;0;0;compute_energy;;;;27;03/04/2025
01/10/2022;0;0;current;;;;0;07/10/2024;JLF;;01/01/2028;0;0;compute_energy;;;;28;03/04/2025
01/10/2022;0;0;compute_energy;;;;7;03/04/2025;JLF;;01/04/2028;0;0;compute_energy;;;;29;03/04/2025
01/11/2022;0;0;current;;;;0;07/10/2024;JLF;;01/07/2028;0;0;compute_energy;;;;30;03/04/2025
01/12/2022;0;0;current;;;;0;07/10/2024;JLF;;01/10/2028;0;0;compute_energy;;;;31;03/04/2025
01/01/2023;0;0;current;;;;0;07/10/2024;JLF;;01/01/2029;0;0;compute_energy;;;;32;03/04/2025
01/01/2023;0;0;compute_energy;;;;8;03/04/2025;JLF;;01/04/2029;0;0;compute_energy;;;;33;03/04/2025
01/02/2023;0;0;current;;;;0;07/10/2024;JLF;;01/07/2029;0;0;compute_energy;;;;34;03/04/2025
01/03/2023;0;0;current;;;;0;07/10/2024;JLF;;01/10/2029;0;0;compute_energy;;;;35;03/04/2025
01/04/2023;0;0;current;;;;0;07/10/2024;JLF;;01/01/2030;0;0;compute_energy;;;;36;03/04/2025
01/04/2023;0;0;compute_energy;;;;9;03/04/2025;JLF;;01/04/2030;0;0;compute_energy;;;;37;03/04/2025
01/05/2023;0;0;current;;;;0;07/10/2024;JLF;;01/07/2030;0;0;compute_energy;;;;38;03/04/2025
01/06/2023;0;0;current;;;;0;07/10/2024;JLF;;01/10/2030;0;0;compute_energy;;;;39;03/04/2025
