DATE EVENT;X;Y;EVENT;VALUE1;VALUE2;CELL_ID;COMMENT;date ajout;resp. ajout
01/01/2021;0;0;current;;;;0;;
01/02/2021;0;0;current;;;;0;;
01/03/2021;0;0;current;;;;0;;
01/04/2021;0;0;current;;;;0;;
01/05/2021;0;0;current;;;;0;;
01/06/2021;0;0;current;;;;0;;
01/07/2021;0;0;current;;;;0;;
01/08/2021;0;0;current;;;;0;;
01/09/2021;0;0;current;;;;0;;
01/10/2021;0;0;current;;;;0;;
01/11/2021;0;0;current;;;;0;;
01/12/2021;0;0;current;;;;0;;
01/01/2022;0;0;current;;;;0;;
01/02/2022;0;0;current;;;;0;;
01/03/2022;0;0;current;;;;0;;
01/04/2022;0;0;current;;;;0;;
01/05/2022;0;0;current;;;;0;;
01/06/2022;0;0;current;;;;0;;
01/07/2022;0;0;current;;;;0;;
01/08/2022;0;0;current;;;;0;;
01/09/2022;0;0;current;;;;0;;
01/10/2022;0;0;current;;;;0;;
01/11/2022;0;0;current;;;;0;;
01/12/2022;0;0;current;;;;0;;
01/01/2023;0;0;current;;;;0;;
01/02/2023;0;0;current;;;;0;;
01/03/2023;0;0;current;;;;0;;
01/04/2023;0;0;current;;;;0;;
01/05/2023;0;0;current;;;;0;;
01/06/2023;0;0;current;;;;0;;
01/07/2023;0;0;current;;;;0;;
01/08/2023;0;0;current;;;;0;;
01/09/2023;0;0;current;;;;0;;
01/10/2023;0;0;current;;;;0;;
01/11/2023;0;0;current;;;;0;;
01/12/2023;0;0;current;;;;0;;
01/01/2024;0;0;current;;;;0;;
01/02/2024;0;0;current;;;;0;;
01/03/2024;0;0;current;;;;0;;
01/04/2024;0;0;current;;;;0;;
01/05/2024;0;0;current;;;;0;;
01/06/2024;0;0;current;;;;0;;
01/07/2024;0;0;current;;;;0;;
01/08/2024;0;0;current;;;;0;;
01/09/2024;0;0;current;;;;0;;
01/10/2024;0;0;current;;;;0;;
01/11/2024;0;0;current;;;;0;;
01/12/2024;0;0;current;;;;0;;
01/01/2025;0;0;current;;;;0;;
01/02/2025;0;0;current;;;;0;;
01/03/2025;0;0;current;;;;0;;
01/04/2025;0;0;current;;;;0;;
01/05/2025;0;0;current;;;;0;;
01/06/2025;0;0;current;;;;0;;
01/07/2025;0;0;current;;;;0;;
01/08/2025;0;0;current;;;;0;;
01/09/2025;0;0;current;;;;0;;
01/10/2025;0;0;current;;;;0;;
01/11/2025;0;0;current;;;;0;;
01/12/2025;0;0;current;;;;0;;
01/01/2026;0;0;current;;;;0;;
01/02/2026;0;0;current;;;;0;;
01/03/2026;0;0;current;;;;0;;
01/04/2026;0;0;current;;;;0;;
01/05/2026;0;0;current;;;;0;;
01/06/2026;0;0;current;;;;0;;
01/07/2026;0;0;current;;;;1;;
01/08/2026;0;0;current;;;;2;;
01/09/2026;0;0;current;;;;3;;
01/10/2026;0;0;current;;;;4;;
01/11/2026;0;0;current;;;;5;;
01/12/2026;0;0;current;;;;6;;
01/01/2027;0;0;current;;;;7;;
01/02/2027;0;0;current;;;;8;;
01/03/2027;0;0;current;;;;9;;
01/04/2027;0;0;current;;;;10;;
01/05/2027;0;0;current;;;;11;;
01/06/2027;0;0;current;;;;12;;
01/07/2027;0;0;current;;;;13;;
01/08/2027;0;0;current;;;;14;;
01/09/2027;0;0;current;;;;15;;
01/10/2027;0;0;current;;;;16;;
01/11/2027;0;0;current;;;;17;;
01/12/2027;0;0;current;;;;18;;
01/01/2028;0;0;current;;;;19;;
01/02/2028;0;0;current;;;;20;;
01/03/2028;0;0;current;;;;21;;
01/04/2028;0;0;current;;;;22;;
01/05/2028;0;0;current;;;;23;;
01/06/2028;0;0;current;;;;24;;
01/07/2028;0;0;current;;;;25;;
01/08/2028;0;0;current;;;;26;;
01/09/2028;0;0;current;;;;27;;
01/10/2028;0;0;current;;;;28;;
01/11/2028;0;0;current;;;;29;;
01/12/2028;0;0;current;;;;30;;
01/01/2029;0;0;current;;;;31;;
01/02/2029;0;0;current;;;;32;;
01/03/2029;0;0;current;;;;33;;
01/04/2029;0;0;current;;;;34;;
01/05/2029;0;0;current;;;;35;;
01/06/2029;0;0;current;;;;36;;
01/07/2029;0;0;current;;;;37;;
01/08/2029;0;0;current;;;;38;;
01/09/2029;0;0;current;;;;39;;
01/10/2029;0;0;current;;;;40;;
01/11/2029;0;0;current;;;;41;;
01/12/2029;0;0;current;;;;42;;
01/01/2030;0;0;current;;;;43;;
01/02/2030;0;0;current;;;;44;;
01/03/2030;0;0;current;;;;45;;
01/04/2030;0;0;current;;;;46;;
01/05/2030;0;0;current;;;;47;;
01/06/2030;0;0;current;;;;48;;
01/07/2030;0;0;current;;;;49;;
01/08/2030;0;0;current;;;;50;;
01/09/2030;0;0;current;;;;51;;
01/10/2030;0;0;current;;;;52;;
01/11/2030;0;0;current;;;;53;;
01/12/2030;0;0;current;;;;54;;
01/01/2031;0;0;current;;;;55;;
01/02/2031;0;0;current;;;;56;;
01/03/2031;0;0;current;;;;57;;
01/04/2031;0;0;current;;;;58;;
01/05/2031;0;0;current;;;;59;;
01/06/2031;0;0;current;;;;60;;
01/07/2031;0;0;current;;;;61;;
01/08/2031;0;0;current;;;;62;;
01/09/2031;0;0;current;;;;63;;
01/10/2031;0;0;current;;;;64;;
01/11/2031;0;0;current;;;;65;;
01/12/2031;0;0;current;;;;66;;
01/01/2032;0;0;current;;;;67;;
01/02/2032;0;0;current;;;;68;;
01/03/2032;0;0;current;;;;69;;
01/04/2032;0;0;current;;;;70;;
01/05/2032;0;0;current;;;;71;;
01/06/2032;0;0;current;;;;72;;
01/07/2032;0;0;current;;;;73;;
01/08/2032;0;0;current;;;;74;;
01/09/2032;0;0;current;;;;75;;
01/10/2032;0;0;current;;;;76;;
01/11/2032;0;0;current;;;;77;;
01/12/2032;0;0;current;;;;78;;
01/01/2033;0;0;current;;;;79;;
01/02/2033;0;0;current;;;;80;;
01/03/2033;0;0;current;;;;81;;
01/04/2033;0;0;current;;;;82;;
01/05/2033;0;0;current;;;;83;;
01/06/2033;0;0;current;;;;84;;
01/07/2033;0;0;current;;;;85;;
01/08/2033;0;0;current;;;;86;;
01/09/2033;0;0;current;;;;87;;
01/10/2033;0;0;current;;;;88;;
01/11/2033;0;0;current;;;;89;;
01/12/2033;0;0;current;;;;90;;
01/01/2034;0;0;current;;;;91;;
01/02/2034;0;0;current;;;;92;;
01/03/2034;0;0;current;;;;93;;
01/04/2034;0;0;current;;;;94;;
01/05/2034;0;0;current;;;;95;;
01/06/2034;0;0;current;;;;96;;
01/07/2034;0;0;current;;;;97;;
01/08/2034;0;0;current;;;;98;;
01/09/2034;0;0;current;;;;99;;
01/10/2034;0;0;current;;;;100;;
01/11/2034;0;0;current;;;;101;;
01/12/2034;0;0;current;;;;102;;
01/01/2035;0;0;current;;;;103;;
01/02/2035;0;0;current;;;;104;;
01/03/2035;0;0;current;;;;105;;
01/04/2035;0;0;current;;;;106;;
01/05/2035;0;0;current;;;;107;;
01/06/2035;0;0;current;;;;108;;
01/07/2035;0;0;current;;;;109;;
01/08/2035;0;0;current;;;;110;;
01/09/2035;0;0;current;;;;111;;
01/10/2035;0;0;current;;;;112;;
01/11/2035;0;0;current;;;;113;;
01/12/2035;0;0;current;;;;114;;
01/01/2036;0;0;current;;;;115;;
01/02/2036;0;0;current;;;;116;;
01/03/2036;0;0;current;;;;117;;
01/04/2036;0;0;current;;;;118;;
01/05/2036;0;0;current;;;;119;;
01/06/2036;0;0;current;;;;120;;
01/07/2036;0;0;current;;;;121;;
01/08/2036;0;0;current;;;;122;;
01/09/2036;0;0;current;;;;123;;
01/10/2036;0;0;current;;;;124;;
01/11/2036;0;0;current;;;;125;;
01/12/2036;0;0;current;;;;126;;
01/01/2037;0;0;current;;;;127;;
01/02/2037;0;0;current;;;;128;;
01/03/2037;0;0;current;;;;129;;
01/04/2037;0;0;current;;;;130;;
01/05/2037;0;0;current;;;;131;;
01/06/2037;0;0;current;;;;132;;
01/07/2037;0;0;current;;;;133;;
01/08/2037;0;0;current;;;;134;;
01/09/2037;0;0;current;;;;135;;
01/10/2037;0;0;current;;;;136;;
01/11/2037;0;0;current;;;;137;;
01/12/2037;0;0;current;;;;138;;
01/01/2038;0;0;current;;;;139;;
01/02/2038;0;0;current;;;;140;;
01/03/2038;0;0;current;;;;141;;
01/04/2038;0;0;current;;;;142;;
01/05/2038;0;0;current;;;;143;;
01/06/2038;0;0;current;;;;144;;
01/07/2038;0;0;current;;;;145;;
01/08/2038;0;0;current;;;;146;;
01/09/2038;0;0;current;;;;147;;
01/10/2038;0;0;current;;;;148;;
01/11/2038;0;0;current;;;;149;;
01/12/2038;0;0;current;;;;150;;
01/01/2039;0;0;current;;;;151;;
01/02/2039;0;0;current;;;;152;;
01/03/2039;0;0;current;;;;153;;
01/04/2039;0;0;current;;;;154;;
01/05/2039;0;0;current;;;;155;;
01/06/2039;0;0;current;;;;156;;
01/07/2039;0;0;current;;;;157;;
01/08/2039;0;0;current;;;;158;;
01/09/2039;0;0;current;;;;159;;
01/10/2039;0;0;current;;;;160;;
01/11/2039;0;0;current;;;;161;;
01/12/2039;0;0;current;;;;162;;
01/01/2040;0;0;current;;;;163;;
01/02/2040;0;0;current;;;;164;;
01/03/2040;0;0;current;;;;165;;
01/04/2040;0;0;current;;;;166;;
01/05/2040;0;0;current;;;;167;;
01/06/2040;0;0;current;;;;168;;
01/07/2040;0;0;current;;;;169;;
01/08/2040;0;0;current;;;;170;;
01/09/2040;0;0;current;;;;171;;
01/10/2040;0;0;current;;;;172;;
01/11/2040;0;0;current;;;;173;;
01/12/2040;0;0;current;;;;174;;
01/01/2041;0;0;current;;;;175;;
01/02/2041;0;0;current;;;;176;;
01/03/2041;0;0;current;;;;177;;
01/04/2041;0;0;current;;;;178;;
01/05/2041;0;0;current;;;;179;;
01/06/2041;0;0;current;;;;180;;
01/07/2041;0;0;current;;;;181;;
01/08/2041;0;0;current;;;;182;;
01/09/2041;0;0;current;;;;183;;
01/10/2041;0;0;current;;;;184;;
01/11/2041;0;0;current;;;;185;;
01/12/2041;0;0;current;;;;186;;
01/01/2042;0;0;current;;;;187;;
01/02/2042;0;0;current;;;;188;;
01/03/2042;0;0;current;;;;189;;
01/04/2042;0;0;current;;;;190;;
01/05/2042;0;0;current;;;;191;;
01/06/2042;0;0;current;;;;192;;
01/07/2042;0;0;current;;;;193;;
01/08/2042;0;0;current;;;;194;;
01/09/2042;0;0;current;;;;195;;
01/10/2042;0;0;current;;;;196;;
01/11/2042;0;0;current;;;;197;;
01/12/2042;0;0;current;;;;198;;
01/01/2043;0;0;current;;;;199;;
01/02/2043;0;0;current;;;;200;;
01/03/2043;0;0;current;;;;201;;
01/04/2043;0;0;current;;;;202;;
01/05/2043;0;0;current;;;;203;;
01/06/2043;0;0;current;;;;204;;
01/07/2043;0;0;current;;;;205;;
01/08/2043;0;0;current;;;;206;;
01/09/2043;0;0;current;;;;207;;
01/10/2043;0;0;current;;;;208;;
01/11/2043;0;0;current;;;;209;;
01/12/2043;0;0;current;;;;210;;
01/01/2044;0;0;current;;;;211;;
01/02/2044;0;0;current;;;;212;;
01/03/2044;0;0;current;;;;213;;
01/04/2044;0;0;current;;;;214;;
01/05/2044;0;0;current;;;;215;;
01/06/2044;0;0;current;;;;216;;
01/07/2044;0;0;current;;;;217;;
01/08/2044;0;0;current;;;;218;;
01/09/2044;0;0;current;;;;219;;
01/10/2044;0;0;current;;;;220;;
01/11/2044;0;0;current;;;;221;;
01/12/2044;0;0;current;;;;222;;
01/01/2045;0;0;current;;;;223;;
01/02/2045;0;0;current;;;;224;;
01/03/2045;0;0;current;;;;225;;
01/04/2045;0;0;current;;;;226;;
01/05/2045;0;0;current;;;;227;;
