DATE EVENT;X;Y;EVENT;VALUE1;VALUE2;CELL_ID;COMMENT;date ajout;resp. ajout;
01/01/2021;0;0;current;;;;1;07/10/2024;JLF;
14/01/2021;0;0;compute_energy;;;;0;03/04/2025;JLF;
15/01/2021;0;0;chlorophyll;;;;2;02/04/2025;JLF;
20/01/2021;0;0;microNekton;;;;2;01/07/2025;JLF;
01/02/2021;0;0;current;;;;3;07/10/2024;JLF;
15/02/2021;0;0;chlorophyll;;;;4;02/04/2025;JLF;
20/02/2021;0;0;microNekton;;;;4;01/07/2025;JLF;
01/03/2021;0;0;current;;;;5;07/10/2024;JLF;
15/03/2021;0;0;chlorophyll;;;;6;02/04/2025;JLF;
20/03/2021;0;0;microNekton;;;;6;01/07/2025;JLF;
01/04/2021;0;0;current;;;;7;07/10/2024;JLF;
14/04/2021;0;0;compute_energy;;;;1;03/04/2025;JLF;
15/04/2021;0;0;chlorophyll;;;;8;02/04/2025;JLF;
20/04/2021;0;0;microNekton;;;;8;01/07/2025;JLF;
01/05/2021;0;0;current;;;;9;07/10/2024;JLF;
15/05/2021;0;0;chlorophyll;;;;10;02/04/2025;JLF;
20/05/2021;0;0;microNekton;;;;10;01/07/2025;JLF;
01/06/2021;0;0;current;;;;11;07/10/2024;JLF;
15/06/2021;0;0;chlorophyll;;;;12;02/04/2025;JLF;
20/06/2021;0;0;microNekton;;;;12;01/07/2025;JLF;
01/07/2021;0;0;current;;;;13;07/10/2024;JLF;
14/07/2021;0;0;compute_energy;;;;2;03/04/2025;JLF;
15/07/2021;0;0;chlorophyll;;;;14;02/04/2025;JLF;
20/07/2021;0;0;microNekton;;;;14;01/07/2025;JLF;
01/08/2021;0;0;current;;;;15;07/10/2024;JLF;
15/08/2021;0;0;chlorophyll;;;;16;02/04/2025;JLF;
20/08/2021;0;0;microNekton;;;;16;01/07/2025;JLF;
01/09/2021;0;0;current;;;;17;07/10/2024;JLF;
15/09/2021;0;0;chlorophyll;;;;18;02/04/2025;JLF;
20/09/2021;0;0;microNekton;;;;18;01/07/2025;JLF;
01/10/2021;0;0;current;;;;19;07/10/2024;JLF;
14/10/2021;0;0;compute_energy;;;;3;03/04/2025;JLF;
15/10/2021;0;0;chlorophyll;;;;20;02/04/2025;JLF;
20/10/2021;0;0;microNekton;;;;20;01/07/2025;JLF;
01/11/2021;0;0;current;;;;21;07/10/2024;JLF;
15/11/2021;0;0;chlorophyll;;;;22;02/04/2025;JLF;
20/11/2021;0;0;microNekton;;;;22;01/07/2025;JLF;
01/12/2021;0;0;current;;;;23;07/10/2024;JLF;
15/12/2021;0;0;chlorophyll;;;;24;02/04/2025;JLF;
20/12/2021;0;0;microNekton;;;;24;01/07/2025;JLF;
01/01/2022;0;0;current;;;;25;07/10/2024;JLF;
14/01/2022;0;0;compute_energy;;;;4;03/04/2025;JLF;
